Ngày cào,Mã sản phẩm,Mã shop,Mã danh mục,Tên sản phẩm,Giá bán hiển thị trên feed,Giảm giá hiển thị trên feed,Đã bán,Nhãn,Ưu đãi,Chỉ báo khuyến mãi,Đánh giá,Địa chỉ,Danh mục sản phẩm,Link
23/03/2025,14330065316,641644113,100630,Sữa rửa mặt nghệ nhân sâm Mela – Skincare giúp sáng da và ngăn ngừa mụn 200ml ML08,₫180.000,Không giảm giá,"Đã bán 95,4k",Mall,Không có ưu đãi,Không có,4.9,Hà Nội,sữa rửa mặt,https://tinyurl.com/25rxcy5d
23/03/2025,26061269653,196261835,100630,Sữa rửa mặt LAIKOU Nhật Bản Sakura Sửa chữa Sữa rửa mặt dưỡng ẩm làm sạch sâu 50g,₫30.800,-17%,"Đã bán 55,1k",Xử lý bởi Shopee,Không có ưu đãi,Rẻ Vô Địch,4.8,Nước ngoài,sữa rửa mặt,https://tinyurl.com/27aodntl
23/03/2025,15798170055,424824902,100630,Sữa Rửa Mặt Cave 236ml bản nội địa,₫36.999,-51%,Đã bán 963,Không có nhãn,Không có ưu đãi,Rẻ Vô Địch,4.5,Bắc Giang,sữa rửa mặt,https://tinyurl.com/24qztm9j
23/03/2025,29450849492,1207016829,100630,🎁100% Chính Hãng🎁 Sữa rửa mặt Sữa rửa mặt trắng da 500ML sữa rửa mặt làm trắng da sữa rửa mặt trị mụn sữa rửa mặt mụn đầu đen,₫61.900,-1%,"Đã bán 2,6k",Không có nhãn,Giảm ₫15k,Mua để nhận quà,4.7,Không có thông tin,sữa rửa mặt,https://tinyurl.com/2xn3ergc
23/03/2025,22769065562,824190445,100630,Sữa Rửa Mặt amino acid Làm Sạch Mụn Đầu Đen Kiềm Dầu Dưỡng Ẩm Cải Thiện Làn Da Mịn Màng Không Làm Săn Chắc Da A707,₫35.200,-9%,"Đã bán 5,4k",Yêu thích,Không có ưu đãi,Rẻ Vô Địch,4.6,Không có thông tin,sữa rửa mặt,https://tinyurl.com/24q4or73
23/03/2025,18892237161,368094170,100630,Sữa rửa mặt Simple lành tính sạch thoáng 150ml,₫32.000,Không giảm giá,"Đã bán 4,8k",Không có nhãn,Không có ưu đãi,Rẻ Vô Địch,4.3,Hà Nội,sữa rửa mặt,https://tinyurl.com/28mosyqz
23/03/2025,19751947540,134371556,100630,Sữa Rửa Mặt Tạo Bọt Mềm Mịn Làm Sạch Sâu Rau Má Cho Da Mụn Da Dầu Nhạy Cảm Cỏ Mềm 150ml,₫120.000,-33%,"Đã bán 60,8k",Mall,Không có ưu đãi,Rẻ Vô Địch,4.9,Không có thông tin,sữa rửa mặt,https://tinyurl.com/29uymxt4
23/03/2025,27356118582,1312206441,100630,"Sữa rửa mặt BEPLAIN Olive Young Hàn Quốc SRM Đậu Xanh cân bằng độ pH dành cho da dầu, nhạy cảm 80ml",₫189.000,-35%,"Đã bán 1,9k",Yêu thích,Giảm ₫10k,Rẻ Vô Địch,4.9,Bình Dương,sữa rửa mặt,https://tinyurl.com/23vg8vbr
23/03/2025,13928097285,558328933,100630,"Sữa rửa mặt Ý Dĩ Hatomugi dưỡng ẩm, trắng da Moisturizing & Facial Washing 170g",₫48.165,-40%,"Đã bán 140,7k",Mall,Không có ưu đãi,Không có,4.9,Không có thông tin,sữa rửa mặt,https://tinyurl.com/27om6cbd
23/03/2025,26260285824,1350471876,100630,"Sữa Rửa Mặt CeraVe SA Smoothing,Hydrating Cleanser Cho Da Dầu, Da Mụn, Da Khô 236ml",₫85.000,-73%,"Đã bán 91,5k",Không có nhãn,Không có ưu đãi,Rẻ Vô Địch,4.5,TP. Hồ Chí Minh,sữa rửa mặt,https://tinyurl.com/295rbvko
